cell_id,x,y,z,n_counts,n_genes,sample_id,annotation_level_1,annotation_level_1_corr,annotation_level_2,annotation_level_2_corr,annotation_level_3,annotation_level_3_corr,celltype_original,celltype_original_corr,cell_type,cell_type_corr
aaadbenk-1,835.9997376255707,7856.693351141553,15.014779614155252,438,100,10x,Non-neoplastic,-0.00721521930936327,Lymphoid,0.02973248689127141,CD4/CD8,0.031226366121491295,Regulatory T cells,0.08073907959966013,mature T cell,0.031226366121491295
aaadcikh-1,850.5411898148149,7868.396954320988,15.118691055555555,162,82,10x,Non-neoplastic,0.02780231226758082,Vascular,0.11001905507772235,Mural cell,0.13222090419103727,Pericyte,0.10552625321032565,mural cell,0.13222090419103727
aaadfnpb-1,853.5603261797753,7864.154620786517,15.185823505617977,178,76,10x,Neoplastic,-0.02115561607484584,Stem-like,-0.01331594658897329,Plasma B,0.08210824180369561,Plasma B,0.08490462330096704,plasma cell,0.08210824180369561
aaadgahg-1,864.3111703603604,7869.573352252252,14.87473924099099,222,81,10x,Neoplastic,-0.0502221259505786,Vascular,-0.03261838845808987,Plasma B,0.017830151907634033,Plasma B,0.01869558840911791,plasma cell,0.017830151907634033
aaadgdlc-1,843.7636729906543,7856.21996728972,14.724792322429906,107,52,10x,Non-neoplastic,0.04098263237080359,Lymphoid,0.06831682904632956,CD4/CD8,0.06987970603315323,CD4+,0.1137708069233385,mature T cell,0.06987970603315323
aaadiboo-1,826.2958196969697,7913.980105050506,14.971411994949495,99,53,10x,Non-neoplastic,-0.015319163120923844,Lymphoid,0.0020319872197603027,Mast,0.04886041331792798,Regulatory T cells,0.10575433877320313,mast cell,0.04886041331792798
aaadicce-1,865.9822121296296,7948.75936712963,15.57905445138889,216,86,10x,Non-neoplastic,0.018737147208693187,Lymphoid,0.09245785524285294,CD4/CD8,0.09421495937407236,Red blood cells,0.13420737661340468,mature T cell,0.09421495937407236
aaadihio-1,827.6810268571429,7936.916265142857,14.754675825714285,175,61,10x,Neoplastic,0.03081294656988542,Stem-like,0.0346758135583542,RG,0.07843244089986999,CGE iN,0.08629625472777887,radial glial cell,0.07843244089986999
aaadjbcd-1,821.3410561732852,7928.390397472924,15.162004198555955,277,88,10x,Neoplastic,0.018924212329433105,Differentiated-like,0.030669783237067847,MES-like,0.08047500238811782,Neutrophils,0.06802302412528545,neutrophil,0.061402987202063414
aaadjfdf-1,829.4772327014218,7925.211623696682,15.522249680094786,211,62,10x,Non-neoplastic,-0.012735409940416829,Vascular,0.03196621613396912,Mural cell,0.04226063733010191,Red blood cells,0.052095563049352776,mural cell,0.04226063733010191
aaadjlmn-1,821.9956933636364,7920.9682413636365,15.922613556818181,220,75,10x,Non-neoplastic,-0.0378470981573632,Myeloid,-0.026276919800829503,Plasma B,-0.009585773350353871,TAM 2,0.007161947799258285,plasma cell,-0.009585773350353871
aaadlggh-1,840.1809894405594,7897.815712587413,15.25010334965035,143,64,10x,Neoplastic,0.015366716604511612,Stem-like,0.04799043221992353,NPC-like,0.08167795195536516,Proliferating macrophage,0.061577472157344174,neutrophil,0.04471480711929702
aaadncnn-1,846.932015902439,7890.533511707317,15.23817647804878,205,71,10x,Neoplastic,-0.021729363846563474,Vascular,-0.004797692224013367,Astrocyte,0.05199780685290248,Astrocyte,0.039105038491798784,astrocyte,0.05199780685290248
aaadnjop-1,844.6995255113635,7879.247206818181,14.998119673295456,176,64,10x,Neoplastic,-0.04105744803900572,Differentiated-like,-0.03983577596663215,OPC,-0.025217931580720377,NKT cells,0.03600424133832565,oligodendrocyte precursor cell,-0.025217931580720377
aaadpajk-1,759.1713377906976,7958.267403488372,15.833777627906976,258,93,10x,Non-neoplastic,-0.07123413293475118,Myeloid,-0.049332185691103404,Astrocyte,-0.04227374008211408,CGE iN,0.007319028416654329,astrocyte,-0.04227374008211408
